slug,title,author,filename,category,doctype
abolishing-surveillance-digital-media-activism-and-state-chris-rob-lightning-source-inc-tier-3-oakland-ca-2023-oakland-pm-press-9781629633619-a943de19fd346a0f91c17fef73262b8e-annas-archive,"Abolishing Surveillance   Digital Media Activism and State -- Chris Robé -- Lightning Source Inc  (Tier 3), Oakland, CA, 2023 -- Oakland  PM Press -- 9781629633619 -- a943de19fd346a0f91c17fef73262b8e -- Anna’s Archive",Unknown,01_Political_Theory_Article_abolishing-surveillance-_-digital-media-activism-and-state-chris-robé-lightning.md,01,
abolition-democracy-angela-y-davis,Abolition Democracy - Angela Y. Davis,Unknown,01_Political_Theory_Article_abolition-democracy-angela-y-davis.md,01,
abolition-geography-ruth-wilson-gilmore,Abolition Geography - Ruth Wilson Gilmore,Unknown,01_Political_Theory_Article_abolition-geography-ruth-wilson-gilmore.md,01,
abolitionism-in-the-united-states-wikipedia,Abolitionism in the United States - Wikipedia,Unknown,01_Political_Theory_Article_abolitionism-in-the-united-states-wikipedia.md,01,
about-the-organization-of-anarchists-in-ukraine-point-of-view-of-a-member-of-a-local-action-collecti,About the organization of anarchists in Ukraine point of view of a member of a local action collecti,Unknown,01_Political_Theory_Article_about-the-organization-of-anarchists-in-ukraine-point-of-view-of-a-member-of-a-l.md,01,
about-wobblies-for-a-revolutionary-union-movement,About Wobblies For A Revolutionary Union Movement,Unknown,01_Political_Theory_Article_about-wobblies-for-a-revolutionary-union-movement.md,01,
activists-demand-independent-investigation-after-cops-kill-protester-in-atlanta,Activists Demand Independent Investigation After Cops Kill Protester in Atlanta,Unknown,01_Political_Theory_Article_activists-demand-independent-investigation-after-cops-kill-protester-in-atlanta.md,01,
aesops-fables-aesopsfables00aeso,Aesop's fables - aesopsfables00aeso,Unknown,01_Political_Theory_Article_aesops-fables-aesopsfables00aeso.md,01,
afa-and-the-police-whatever-you-say-say-nothing,"AFA and the Police - Whatever You Say, Say Nothing",Unknown,01_Political_Theory_Article_afa-and-the-police-whatever-you-say-say-nothing.md,01,
afl-cio-backs-dakota-access-pipeline-and-the-family-supporting-jobs-it-provides,AFL-CIO Backs Dakota Access Pipeline and the “Family Supporting Jobs” It Provides,Unknown,01_Political_Theory_Article_afl-cio-backs-dakota-access-pipeline-and-the-family-supporting-jobs-it-provides.md,01,
afl-cio-to-planet-earth-drop-dead,AFL-CIO to Planet Earth Drop Dead!,Unknown,01_Political_Theory_Article_afl-cio-to-planet-earth-drop-dead.md,01,
after-the-revolution,After the Revolution,Unknown,01_Political_Theory_Article_after-the-revolution.md,01,
against-the-conceptual-dumbing-down-of-the-2016-movement-in-france-mouvement-communistekolektivn,Against the conceptual dumbing down of the 2016 “movement” in France - Mouvement CommunisteKolektivn,Unknown,01_Political_Theory_Article_against-the-conceptual-dumbing-down-of-the-2016-movement-in-france-mouvement-com.md,01,
against-the-grain-the-british-far-left-from-1956,Against the grain the British far left from 1956,Unknown,01_Political_Theory_Article_against-the-grain-the-british-far-left-from-1956.md,01,
against-the-grain,Against the Grain,Unknown,01_Political_Theory_Article_against-the-grain.md,01,
against-the-logic-of-submission-audio-book-audio-anarchy,Against the Logic of Submission Audio book - Audio Anarchy,Unknown,01_Political_Theory_Article_against-the-logic-of-submission-audio-book-audio-anarchy.md,01,
against-the-logic-of-submission-wolfi-landstreicher,Against the Logic of Submission - Wolfi Landstreicher,Unknown,01_Political_Theory_Article_against-the-logic-of-submission-wolfi-landstreicher.md,01,
against-the-new-and-old-familism-down-with-the-family-humanaesfera,Against the (new and old) familism - down with the family! - humanaesfera,Unknown,01_Political_Theory_Article_against-the-new-and-old-familism-down-with-the-family-humanaesfera.md,01,
against-war-against-power-statement-from-the-crifa-meeting-of-ifa,"Against war, against power statement from the CRIFA meeting of IFA",Unknown,01_Political_Theory_Article_against-war-against-power-statement-from-the-crifa-meeting-of-ifa.md,01,
akutagawa,akutagawa,Unknown,01_Political_Theory_Article_akutagawa.md,01,
alice-asylum,Alice Asylum,Unknown,01_Political_Theory_Article_alice_asylum.md,01,
alien-1978-10-04,alien-1978-10-04,Unknown,01_Political_Theory_Article_alien-1978-10-04.md,01,
alive-with-resistance-diasporic-reflections-on-the-revolt-in-myanmar,Alive With Resistance Diasporic Reflections on the Revolt in Myanmar,Unknown,01_Political_Theory_Article_alive-with-resistance-diasporic-reflections-on-the-revolt-in-myanmar.md,01,
amazon-strikes-on-prime-day,Amazon Strikes on Prime Day,Unknown,01_Political_Theory_Article_amazon-strikes-on-prime-day.md,01,
an-afterthought-extra-parliamentary-electoralism,An afterthought 'extra-parliamentary electoralism',Unknown,01_Political_Theory_Article_an-afterthought-extra-parliamentary-electoralism.md,01,
an-ambiguous-paradise-built-in-hell,An Ambiguous Paradise Built in Hell,Unknown,01_Political_Theory_Article_an-ambiguous-paradise-built-in-hell.md,01,
an-anarchist-faq,An Anarchist FAQ,Unknown,01_Political_Theory_Article_an-anarchist-faq.md,01,
an-anarchist-theory-of-criminal-justice,An Anarchist Theory of Criminal Justice,Unknown,01_Political_Theory_Article_an-anarchist-theory-of-criminal-justice.md,01,
an-anarchy-of-everyday-life,An Anarchy of Everyday Life,Unknown,01_Political_Theory_Article_an-anarchy-of-everyday-life.md,01,
an-appeal-to-the-young,An Appeal to the Young,Unknown,01_Political_Theory_Article_an-appeal-to-the-young.md,01,
an-entirely-different-kind-of-union-the-service-office-and-retail-workers-union-of-canada-sorw,"An “entirely different” kind of union the Service, Office, and Retail Workers’ Union of Canada (SORW",Unknown,01_Political_Theory_Article_an-entirely-different-kind-of-union-the-service-office-and-retail-workers-union.md,01,
an-injury-to-one-is-an-injury-to-all-a-minneapolis-bus-driver-on-solidarity-with-minneapolis-prote,“An Injury to One is an Injury to All” A Minneapolis Bus Driver on Solidarity with Minneapolis Prote,Unknown,01_Political_Theory_Article_an-injury-to-one-is-an-injury-to-all-a-minneapolis-bus-driver-on-solidarity-with.md,01,
an-injury-to-one-is-an-injury-to-all-solidarity-with-heathrow-13-activists,An Injury to One is an Injury to All! Solidarity with Heathrow 13 activists,Unknown,01_Political_Theory_Article_an-injury-to-one-is-an-injury-to-all-solidarity-with-heathrow-13-activists.md,01,
an-injury-to-one-is-an-injury-to-all,‘An injury to one is an injury to all’,Unknown,01_Political_Theory_Article_an-injury-to-one-is-an-injury-to-all.md,01,
an-introduction-to-anarchism-in-myanmar,An Introduction to Anarchism in Myanmar,Unknown,01_Political_Theory_Article_an-introduction-to-anarchism-in-myanmar.md,01,
an-obituary-for-tortuguita,An Obituary for Tortuguita,Unknown,01_Political_Theory_Article_an-obituary-for-tortuguita.md,01,
an-open-letter-to-revolutionaries,An Open Letter to Revolutionaries,Unknown,01_Political_Theory_Article_an-open-letter-to-revolutionaries.md,01,
an-open-letter-to-the-labor-movement-stand-in-solidarity-with-nodapl,An Open Letter to the Labor Movement Stand in Solidarity With #NoDAPL,Unknown,01_Political_Theory_Article_an-open-letter-to-the-labor-movement-stand-in-solidarity-with-nodapl.md,01,
an-overview-of-the-spanish-libertarian-movement,An overview of the Spanish libertarian movement,Unknown,01_Political_Theory_Article_an-overview-of-the-spanish-libertarian-movement.md,01,
anarchism-and-democracy-the-anarchist-library,Anarchism and Democracy   The Anarchist Library,Unknown,01_Political_Theory_Article_anarchism-and-democracy-_-the-anarchist-library.md,01,
anarchism-and-education,Anarchism and Education,Unknown,01_Political_Theory_Article_anarchism-and-education.md,01,
anarchism-and-other-essays,Anarchism and Other Essays,Unknown,01_Political_Theory_Article_anarchism-and-other-essays.md,01,
anarchism-and-outrage,Anarchism and Outrage,Unknown,01_Political_Theory_Article_anarchism-and-outrage.md,01,
anarchism-and-revolutionary-defeatism-kc-sinclair,Anarchism and revolutionary defeatism – K.C. Sinclair,Unknown,01_Political_Theory_Article_anarchism-and-revolutionary-defeatism-kc-sinclair.md,01,
anarchism-and-spycops-dave-morris,Anarchism and Spycops – Dave Morris,Unknown,01_Political_Theory_Article_anarchism-and-spycops-dave-morris.md,01,
anarchism-and-the-black-revolution,Anarchism and the Black Revolution,Unknown,01_Political_Theory_Article_anarchism-and-the-black-revolution.md,01,
anarchism-arguments-for-and-against-2023-edition,Anarchism arguments for and against [2023 edition],Unknown,01_Political_Theory_Article_anarchism-arguments-for-and-against-2023-edition.md,01,
anarchism-as-extreme-democracy-the-anarchist-library,Anarchism as Extreme Democracy   The Anarchist Library,Unknown,01_Political_Theory_Article_anarchism-as-extreme-democracy-_-the-anarchist-library.md,01,
anarchism-encyclopedia-britannica,Anarchism - Encyclopedia Britannica,Unknown,01_Political_Theory_Article_anarchism-encyclopedia-britannica.md,01,
anarchism-exposed-the-red-menace,Anarchism Exposed! - The Red Menace,Unknown,01_Political_Theory_Article_anarchism-exposed-the-red-menace.md,01,
anarchism-in-the-united-states,Anarchism in the United States,Unknown,01_Political_Theory_Article_anarchism-in-the-united-states.md,01,
anarchism-marxism-and-the-future-of-the-left-interviews-and-essays-1993-1998-murray-bookchin-liber3,"Anarchism, Marxism and the Future of the Left  Interviews and Essays, 1993-1998 Murray Bookchin liber3",Unknown,01_Political_Theory_Article_anarchism-marxism-and-the-future-of-the-left_-interviews-and-essays-1993-1998_mu.md,01,
anarchism-mutual-aid-and-self-organization-from-the-george-floyd-uprising-to-indias-farmer-rebell,"Anarchism, Mutual Aid, and Self-Organization From the George Floyd Uprising to India’s Farmer Rebell",Unknown,01_Political_Theory_Article_anarchism-mutual-aid-and-self-organization-from-the-george-floyd-uprising-to-ind.md,01,
anarchism-on-the-periphery-struggle-under-conditions-of-emigration-and-war,Anarchism on the periphery struggle under conditions of emigration and war,Unknown,01_Political_Theory_Article_anarchism-on-the-periphery-struggle-under-conditions-of-emigration-and-war.md,01,
anarchism-the-afterbirth-of-liberalism,"Anarchism, the Afterbirth of Liberalism",Unknown,01_Political_Theory_Article_anarchism-the-afterbirth-of-liberalism.md,01,
anarchism-wikipedia,Anarchism - Wikipedia,Unknown,01_Political_Theory_Article_anarchism-wikipedia.md,01,
anarchism-an-introductory-bibliography-anarcho-syndicalist-review,Anarchism  An Introductory Bibliography   Anarcho-Syndicalist Review,Unknown,01_Political_Theory_Article_anarchism_-an-introductory-bibliography-_-anarcho-syndicalist-review.md,01,
anarchism-its-philosophy-and-ideal,Anarchism  its philosophy and ideal,Unknown,01_Political_Theory_Article_anarchism_-its-philosophy-and-ideal.md,01,
anarchism-utopian-or-scientific,Anarchism  Utopian or scientific,Unknown,01_Political_Theory_Article_anarchism_-utopian-or-scientific.md,01,
anarchist-approaches-to-crime-dysophia-5-2015-ak-press-85bce32fbb5753a579ef46507d430c82-annas-archive,Anarchist approaches to crime & -- Dysophia 5 -- 2015 -- AK Press -- 85bce32fbb5753a579ef46507d430c82 -- Anna’s Archive,Unknown,01_Political_Theory_Article_anarchist-approaches-to-crime-dysophia-5-2015-ak-press-85bce32fbb5753a579ef46507.md,01,
anarchist-architecture-wikipedia,Anarchist architecture - Wikipedia,Unknown,01_Political_Theory_Article_anarchist-architecture-wikipedia.md,01,
anarchist-black-cross-bulletin-london-abc,Anarchist Black Cross Bulletin - London ABC,Unknown,01_Political_Theory_Article_anarchist-black-cross-bulletin-london-abc.md,01,
anarchist-black-dragon,Anarchist Black Dragon,Unknown,01_Political_Theory_Article_anarchist-black-dragon.md,01,
anarchist-collectivism-an-introduction,Anarchist collectivism - an introduction,Unknown,01_Political_Theory_Article_anarchist-collectivism-an-introduction.md,01,
anarchist-direct-actions-a-challenge-for-law-enforcement,Anarchist Direct Actions A Challenge for Law Enforcement,Unknown,01_Political_Theory_Article_anarchist-direct-actions-a-challenge-for-law-enforcement.md,01,
anarchist-morality,Anarchist Morality,Unknown,01_Political_Theory_Article_anarchist-morality.md,01,
anarchist-pedagogies,Anarchist Pedagogies,Unknown,01_Political_Theory_Article_anarchist-pedagogies.md,01,
anarchist-perspectives-on-net-neutrality,Anarchist Perspectives on Net Neutrality,Unknown,01_Political_Theory_Article_anarchist-perspectives-on-net-neutrality.md,01,
anarchist-revolution-george-barrett,Anarchist Revolution - George Barrett,Unknown,01_Political_Theory_Article_anarchist-revolution-george-barrett.md,01,
anarchist-revolutionary-strategy,Anarchist Revolutionary Strategy,Unknown,01_Political_Theory_Article_anarchist-revolutionary-strategy.md,01,
anarchistpedagogies,anarchistpedagogies,Unknown,01_Political_Theory_Article_anarchistpedagogies.md,01,
anarchists-demand-strike-to-end-war-new-york-times,Anarchists Demand Strike To End War - New York Times,Unknown,01_Political_Theory_Article_anarchists-demand-strike-to-end-war-new-york-times.md,01,
anarchists-getting-ourselves-together,Anarchists Getting Ourselves Together,Unknown,01_Political_Theory_Article_anarchists-getting-ourselves-together.md,01,
anarchists-on-the-web-anarchists-on-the-web-omeka-s-at-uvic-libraries,Anarchists on the Web · Anarchists on the Web · Omeka S at UVic Libraries,Unknown,01_Political_Theory_Article_anarchists-on-the-web-anarchists-on-the-web-omeka-s-at-uvic-libraries.md,01,
anarcho-syndicalism-theory-and-practice,Anarcho-syndicalism  Theory and Practice,Unknown,01_Political_Theory_Article_anarcho-syndicalism_-theory-and-practice.md,01,
anarcho-syndicalist-trans-feminism,Anarcho-syndicalist Trans-Feminism,Unknown,01_Political_Theory_Article_anarcho-syndicalist-trans-feminism.md,01,
anarchos-no-2-spring-1968,Anarchos No. 2 (Spring 1968),Unknown,01_Political_Theory_Article_anarchos-no-2-spring-1968.md,01,
anarchy-043,Anarchy 043,Unknown,01_Political_Theory_Article_anarchy-043.md,01,
anarchy-071,Anarchy 071,Unknown,01_Political_Theory_Article_anarchy-071.md,01,
